chr	id	rsid	description	level
chr3	8548827	rs6798584	Single_Nucleotides|eQTL|LMCD1, Motifs|PWM|Foxj3, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmvecdblneo	1f
chr3	8548850	rs931685	Single_Nucleotides|eQTL|LMCD1, Motifs|PWM|Bhlhb2, Motifs|PWM|Bhlhb2, Motifs|PWM|CLOCK:BMAL, Motifs|PWM|CLOCK:BMAL, Motifs|PWM|Sox15, Motifs|PWM|Sox21, Motifs|PWM|Sox30, Motifs|PWM|Sry, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmvecdblneo	1f
chr3	8548885	rs931686	Single_Nucleotides|eQTL|LMCD1, Motifs|PWM|Foxa2, Motifs|PWM|FOXJ2, Motifs|PWM|FOXO3, Motifs|PWM|HFH3(FOXI1), Motifs|PWM|FOXD1, Motifs|PWM|HNF3A, Motifs|PWM|FOXO3, Motifs|PWM|FOXA1, Motifs|PWM|Foxa2, Motifs|PWM|Foxk1, Motifs|PWM|Foxl1, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmvecdblneo	1f
chr3	8558515	rs4143966	Single_Nucleotides|eQTL|LMCD1, Chromatin_Structure|DNase-seq|Hae	1f
chr3	8560054	rs7616573	Single_Nucleotides|eQTL|LMCD1, Motifs|Footprinting|HSF1, Motifs|Footprinting|HSF1, Motifs|Footprinting|HSF1, Motifs|Footprinting|HSF1, Motifs|PWM|HSF1, Chromatin_Structure|DNase-seq|Hae, Chromatin_Structure|DNase-seq|Hnpce, Chromatin_Structure|DNase-seq|Hcf, Chromatin_Structure|DNase-seq|Hgf, Chromatin_Structure|DNase-seq|Hpdlf, Chromatin_Structure|DNase-seq|Ag09309, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Ag04449, Chromatin_Structure|DNase-seq|Ag09319, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hcfaa, Chromatin_Structure|DNase-seq|Hcm, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hpaf, Chromatin_Structure|DNase-seq|Ag10803, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Hconf, Chromatin_Structure|DNase-seq|Hmvecdlyneo, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Hpf, Chromatin_Structure|DNase-seq|Nha, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Hmf, Chromatin_Structure|DNase-seq|Hvmf, Chromatin_Structure|DNase-seq|Hcpe, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Nhdfad, Chromatin_Structure|DNase-seq|Nhlf, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Rptec, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|FAIRE|Astrocy, Chromatin_Structure|DNase-seq|Hrce, Chromatin_Structure|DNase-seq|Aoaf, Chromatin_Structure|DNase-seq|Hre	1f
chr3	8561732	rs9312024	Single_Nucleotides|eQTL|LMCD1, Motifs|PWM|Glis2, Chromatin_Structure|DNase-seq|Hrce	1f
chr3	8568956	rs1493588	Single_Nucleotides|eQTL|LMCD1, Chromatin_Structure|DNase-seq|Hasp	1f
chr3	8570874	rs9810512	Single_Nucleotides|eQTL|LMCD1, Motifs|Footprinting|Foxa2, Motifs|Footprinting|Foxa2, Motifs|Footprinting|FOXA1, Motifs|Footprinting|FOXA1, Motifs|Footprinting|FOXO1, Motifs|Footprinting|FOXO1, Motifs|PWM|FOXO1, Motifs|PWM|Foxa2, Motifs|PWM|FOXA1, Motifs|PWM|FOXO3A, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Sknshra, Chromatin_Structure|FAIRE|Gm12892, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|EP300, Protein_Binding|ChIP-seq|FOXA2	1a
chr3	8571110	rs9831647	Single_Nucleotides|eQTL|LMCD1, Motifs|Footprinting|Ets, Motifs|Footprinting|Ets, Motifs|Footprinting|Ets, Motifs|Footprinting|FLI1, Motifs|Footprinting|FLI1, Motifs|Footprinting|FLI1, Motifs|PWM|Ets, Motifs|PWM|FLI1, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hae, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Hgf, Chromatin_Structure|DNase-seq|Hmvecdblneo, Chromatin_Structure|DNase-seq|Hconf, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Ag09309, Chromatin_Structure|DNase-seq|Aoaf, Chromatin_Structure|DNase-seq|Hac, Chromatin_Structure|DNase-seq|Hcpe, Chromatin_Structure|DNase-seq|Hffmyc, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hmveclbl, Chromatin_Structure|DNase-seq|Hnpce, Chromatin_Structure|DNase-seq|Hpdlf, Chromatin_Structure|DNase-seq|Hpf, Chromatin_Structure|DNase-seq|Nha, Chromatin_Structure|DNase-seq|Ag04450, Chromatin_Structure|DNase-seq|Ag09319, Chromatin_Structure|DNase-seq|Ag10803, Chromatin_Structure|DNase-seq|Hbmec, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Hre, Chromatin_Structure|DNase-seq|Hvmf, Chromatin_Structure|DNase-seq|Hcfaa, Chromatin_Structure|DNase-seq|Hcf, Chromatin_Structure|DNase-seq|Hmf, Chromatin_Structure|DNase-seq|Hpaf, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Hmvecdneo, Chromatin_Structure|DNase-seq|Hcm, Chromatin_Structure|DNase-seq|Nhdfad, Chromatin_Structure|DNase-seq|Hrce, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|Nhdfneo, Chromatin_Structure|DNase-seq|Nhlf, Chromatin_Structure|DNase-seq|Rptec, Chromatin_Structure|DNase-seq|Skmc, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|FAIRE|A549, Chromatin_Structure|FAIRE|Hepg2, Protein_Binding|ChIP-seq|HNF4A, Protein_Binding|ChIP-seq|RFX5	1b
chr3	8580237	rs11707002	Single_Nucleotides|eQTL|LMCD1, Motifs|PWM|PU.1, Protein_Binding|ChIP-seq|MAFF	1f
chr6	31113106	rs3130575	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|CCHCR1, Motifs|Footprinting|Hdx, Motifs|Footprinting|Hdx, Motifs|Footprinting|Hdx, Motifs|PWM|Hdx, Motifs|PWM|Hdx, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|Hepatocytes	1f
chr6	31137165	rs3130503	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|H7es, Chromatin_Structure|DNase-seq|Werirb1, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Helas3	1f
chr6	31161210	rs3095238	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HCG27, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-DRB1, Single_Nucleotides|eQTL|HLA-DRB5, Single_Nucleotides|eQTL|HLA-F, Chromatin_Structure|DNase-seq|Werirb1, Chromatin_Structure|DNase-seq|H7es, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Panc1, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|Hmvecdneo, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|RAD21, Protein_Binding|ChIP-seq|RAD21, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|RAD21, Protein_Binding|ChIP-seq|CTCF, Protein_Binding|ChIP-seq|CTCF	1f
chr6	31165566	rs3094609	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HCG27, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|DNase-seq|Gliobla, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Gm06990, Chromatin_Structure|DNase-seq|Th1, Chromatin_Structure|DNase-seq|Th2, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|K562, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Ag04450, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|FAIRE|Huvec, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Ag09319, Chromatin_Structure|DNase-seq|Hvmf, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hee, Chromatin_Structure|DNase-seq|Hmvecdblad, Chromatin_Structure|DNase-seq|Hrce, Chromatin_Structure|DNase-seq|Hre, Chromatin_Structure|DNase-seq|Hrgec, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Hct116, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Hnpce, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Werirb1, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|FAIRE|Hepg2, Chromatin_Structure|FAIRE|K562, Chromatin_Structure|DNase-seq|Hasp, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|FAIRE|Gm12892, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Gm12864, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|TFAP2A, Protein_Binding|ChIP-seq|TFAP2C, Protein_Binding|ChIP-seq|ELK4, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|HMGN3, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|STAT3, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|TCF12, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|GATA1, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|GABPA, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|POLR2A, Protein_Binding|ChIP-seq|STAT3, Protein_Binding|ChIP-seq|ETS1, Protein_Binding|ChIP-seq|ELF1, Protein_Binding|ChIP-seq|FOSL2, Protein_Binding|ChIP-seq|JUND, Protein_Binding|ChIP-seq|EGR1, Protein_Binding|ChIP-seq|HEY1, Protein_Binding|ChIP-seq|EGR1, Protein_Binding|ChIP-seq|REST, Protein_Binding|ChIP-seq|ZBTB7A	1f
chr6	31173678	rs3094606	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Motifs|PWM|Elk-1, Motifs|PWM|c-Ets-2, Motifs|PWM|c-Ets-1, Chromatin_Structure|DNase-seq|Gm12865, Chromatin_Structure|DNase-seq|Jurkat, Protein_Binding|ChIP-seq|HNF4A	1d
chr6	31207920	rs3132499	Single_Nucleotides|eQTL|HLA-C, Single_Nucleotides|eQTL|HLA-C, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Nhdfad, Chromatin_Structure|DNase-seq|Hnpce	1f
chr19	45737218	rs346750	Single_Nucleotides|eQTL|CKM, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|FAIRE|Nhek, Chromatin_Structure|DNase-seq|Panislets	1f
chr19	45740771	rs17356664	Single_Nucleotides|eQTL|CKM, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Mcf7	1f
chr1	11838696	rs72640210	Motifs|Footprinting|FXRinvertedrepeat1, Motifs|Footprinting|FXRinvertedrepeat1, Motifs|Footprinting|FXRinvertedrepeat1, Motifs|Footprinting|FXRinvertedrepeat1, Motifs|PWM|FXRinvertedrepeat1, Motifs|PWM|FXRinvertedrepeat1, Motifs|PWM|Sox13, Chromatin_Structure|DNase-seq|Chorion, Protein_Binding|ChIP-seq|IKZF1	2b
chr1	11845222	rs55867221	Motifs|Footprinting|NRSF, Motifs|Footprinting|NRSF, Motifs|Footprinting|NRSF, Motifs|Footprinting|NRSF, Motifs|Footprinting|NRSF, Motifs|Footprinting|NRSF, Motifs|PWM|NRSF, Chromatin_Structure|DNase-seq|H1hesc, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Gm12891, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Gm19238, Chromatin_Structure|DNase-seq|Ips, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|8988t, Chromatin_Structure|DNase-seq|Huh7, Chromatin_Structure|DNase-seq|Gm18507, Chromatin_Structure|DNase-seq|Cll, Chromatin_Structure|DNase-seq|Gm19240, Chromatin_Structure|DNase-seq|Huvec, Chromatin_Structure|DNase-seq|Helas3, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|H9es, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Hmec, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Hsmm, Chromatin_Structure|DNase-seq|K562, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Hsmmt, Chromatin_Structure|DNase-seq|Panislets, Chromatin_Structure|DNase-seq|Nhek, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|A549, Chromatin_Structure|DNase-seq|Urotsa, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Hpde6e6e7, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Melano, Chromatin_Structure|DNase-seq|Ag04449, Chromatin_Structure|DNase-seq|Medullo, Chromatin_Structure|DNase-seq|UrotsaUt189, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Bj, Chromatin_Structure|DNase-seq|Hcpe, Chromatin_Structure|DNase-seq|Hpdlf, Chromatin_Structure|DNase-seq|Hpf, Chromatin_Structure|FAIRE|Gm12891, Chromatin_Structure|DNase-seq|Htr8, Chromatin_Structure|FAIRE|Helas3, Chromatin_Structure|DNase-seq|Hac, Chromatin_Structure|DNase-seq|Hah, Chromatin_Structure|DNase-seq|Hipe, Chromatin_Structure|DNase-seq|Hmf, Chromatin_Structure|DNase-seq|Hff, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|Hepg2, Chromatin_Structure|DNase-seq|Fibrop, Chromatin_Structure|DNase-seq|Fibrobl, Chromatin_Structure|DNase-seq|Phte, Chromatin_Structure|DNase-seq|Helas3Ifna4h, Chromatin_Structure|DNase-seq|T47d, Protein_Binding|ChIP-seq|PAX5, Protein_Binding|ChIP-seq|JUND, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|TAF1, Protein_Binding|ChIP-seq|TBP, Protein_Binding|ChIP-seq|CCNT2, Protein_Binding|ChIP-seq|HMGN3, Protein_Binding|ChIP-seq|ZNF143, Protein_Binding|ChIP-seq|CTCF	2b
chr1	11873052	rs72640252	Motifs|Footprinting|Freac-3, Motifs|PWM|Freac-3, Motifs|PWM|Sox7, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Lncap, Protein_Binding|ChIP-seq|AR	2b
chr1	11873055	rs72640253	Motifs|Footprinting|Freac-3, Motifs|PWM|Freac-3, Motifs|PWM|Sox7, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Lncap, Protein_Binding|ChIP-seq|AR	2b
chr1	42393001	rs4660585	Motifs|Footprinting|HFH4(FOXJ1), Motifs|PWM|HFH4(FOXJ1), Motifs|Footprinting|RREB1, Motifs|PWM|RREB1, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Panc1, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Mcf7, Chromatin_Structure|DNase-seq|Mcf7, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|FOXA2, Protein_Binding|ChIP-seq|FOXA1, Protein_Binding|ChIP-seq|EP300	2b
chr1	68687697	rs10493438	Motifs|PWM|Oct-1, Motifs|Footprinting|Oct-1, Motifs|Footprinting|Oct-1, Motifs|Footprinting|Oct-1, Motifs|Footprinting|Oct-1, Motifs|PWM|Oct-1, Motifs|PWM|Pou2f2, Motifs|PWM|Pou2f3, Chromatin_Structure|DNase-seq|Nhdfneo, Chromatin_Structure|DNase-seq|Hconf, Chromatin_Structure|DNase-seq|Wi38, Chromatin_Structure|DNase-seq|Aosmc, Chromatin_Structure|DNase-seq|Progfib, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Saec, Chromatin_Structure|DNase-seq|Stellate, Chromatin_Structure|DNase-seq|Ag10803, Chromatin_Structure|DNase-seq|Panisd, Chromatin_Structure|DNase-seq|Hrgec, Chromatin_Structure|DNase-seq|Hasp, Chromatin_Structure|FAIRE|Gliobla, Protein_Binding|ChIP-seq|FOS	2b
chr1	217200953	rs6684076	Motifs|Footprinting|RREB-1, Motifs|Footprinting|AML, Motifs|Footprinting|core-bindingfactor, Motifs|PWM|RREB-1, Motifs|PWM|core-bindingfactor, Motifs|PWM|AML, Chromatin_Structure|FAIRE|Gm19239, Chromatin_Structure|DNase-seq|Gm19239, Chromatin_Structure|FAIRE|Gm12878, Chromatin_Structure|DNase-seq|Hl60, Chromatin_Structure|DNase-seq|Nb4, Chromatin_Structure|FAIRE|Gm18507, Chromatin_Structure|DNase-seq|Gm12878, Chromatin_Structure|DNase-seq|Gm12864, Chromatin_Structure|DNase-seq|Gm12865, Chromatin_Structure|DNase-seq|Gm19240, Protein_Binding|ChIP-seq|IRF4, Protein_Binding|ChIP-seq|IRF4, Protein_Binding|ChIP-seq|SPI1, Protein_Binding|ChIP-seq|BCL11A, Protein_Binding|ChIP-seq|PAX5, Protein_Binding|ChIP-seq|SPI1	2b
chr1	228139672	rs681239	Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|Footprinting|Tal1::Gata1, Motifs|PWM|Tal1::Gata1, Chromatin_Structure|DNase-seq|Hepatocytes, Chromatin_Structure|DNase-seq|T47d, Chromatin_Structure|DNase-seq|Gm12892, Chromatin_Structure|DNase-seq|Lncap, Chromatin_Structure|DNase-seq|Chorion, Chromatin_Structure|DNase-seq|Huh75, Chromatin_Structure|DNase-seq|Osteobl, Chromatin_Structure|DNase-seq|Myometr, Chromatin_Structure|DNase-seq|Gm12878, Protein_Binding|ChIP-seq|IKZF1	2b
